id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
4,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,1,Science,Chemistry
9,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
14,What is the chemical symbol for carbon?,C,Ca,Co,Cr,0,Science,Chemistry
24,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,1,Science,Chemistry
29,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
34,What is the chemical symbol for carbon?,C,Ca,Co,Cr,0,Science,Chemistry
44,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
50,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
64,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
74,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
80,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
94,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
104,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
110,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
124,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
134,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
140,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
154,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
164,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
170,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
184,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
194,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
200,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
214,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
224,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
230,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
244,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
254,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
260,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
274,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
284,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
290,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
304,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
314,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
320,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
334,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
344,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
350,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
364,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
374,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
380,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
394,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
404,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
410,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
424,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
434,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
440,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
454,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
464,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
470,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
484,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
494,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,0,Science,Chemistry
500,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,0,Science,Chemistry
514,What is the chemical formula for sulfuric acid?,H2SO4,HCl,NaOH,CH3COOH,2,Science,Chemistry
553,What is the chemical symbol for water?,H2O,O2,H2,CO2,0,Science,Chemistry
554,What is the process of water turning into vapor called?,Evaporation,Condensation,Precipitation,Transpiration,1,Science,Processes
555,What is the atomic number of Carbon?,6,12,8,4,2,Science,Chemistry
556,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,3,Science,Atmospheric Science
